index,x_m,y_m,z_m
184,198.36472745491062,198.36372745491076,56.569927659318736
185,199.16833466933946,199.1673346693396,56.666370168336776
186,199.97194188376832,199.97094188376846,56.7450750618432
187,200.77554909819713,200.77454909819727,56.811518176352756
188,201.57915631262605,201.5781563126262,56.85843276553111
189,202.38276352705486,202.381763527055,56.90534735470948
190,203.18637074148378,203.1853707414839,56.95226194388782
191,203.98997795591256,203.98897795591267,56.99917653306618
192,204.79358517034146,204.79258517034157,57.04609112224454
193,205.59719238477032,205.59619238477043,57.0930057114229
194,206.40079959919916,206.3997995991993,57.139920300601254
195,207.20440681362803,207.20340681362816,57.186834889779604
196,208.0080140280569,208.007014028057,57.23374947895796
197,208.81162124248573,208.81062124248587,57.28066406813632
198,209.61522845691462,209.6142284569147,57.32757865731468
199,210.41883567134343,210.41783567134357,57.37449324649303
200,211.22244288577232,211.22144288577246,57.421407835671396
201,212.02605010020116,212.02505010020127,57.46832242484975
202,212.82965731463003,212.82865731463014,57.5152370140281
203,213.6332645290589,213.63226452905903,57.562151603206466
204,214.43687174348776,214.43587174348784,57.60906619238482
205,215.2404789579166,215.23947895791673,57.65598078156317
206,216.0440861723455,216.0430861723456,57.70289537074153
207,216.84769338677432,216.84669338677443,57.74980995991988
208,217.6513006012032,217.6503006012033,57.79672454909824
209,218.45490781563203,218.45390781563214,57.8436391382766
210,219.25851503006092,219.25751503006103,57.890553727454964
211,220.06212224448976,220.06112224448987,57.937468316633314
212,220.86572945891862,220.86472945891873,57.98438290581167
213,221.66933667334746,221.6683366733476,58.03129749499002
214,222.47294388777635,222.47194388777646,58.078212084168385
215,223.2765511022052,223.2755511022053,58.125126673346735
216,224.08015831663403,224.07915831663416,58.172041262525084
217,224.8837655310629,224.882765531063,58.2198779821929
218,225.68737274549173,225.68637274549184,58.27451050100206
219,226.49097995992065,226.48997995992073,58.33154089779565
220,227.2945871743494,227.29358717434954,58.388571294589234
221,228.09819438877832,228.09719438877846,58.445601691382834
222,228.90180160320713,228.90080160320724,58.50263208817641
223,229.70540881763606,229.70440881763614,58.55966248497
224,230.50901603206484,230.50801603206494,58.61669288176358
225,231.31262324649376,231.31162324649387,58.673723278557176
226,232.11623046092257,232.11523046092265,58.730753675350755
227,232.91983767535146,232.9188376753516,58.78778407214435
228,233.72344488978027,233.72244488978038,58.84481446893793
229,234.5270521042092,234.5260521042093,58.901844865731526
230,235.330659318638,235.3296593186381,58.9588752625251
231,236.1342665330669,236.133266533067,59.01590565931869
232,236.93787374749567,236.9368737474958,59.07293605611228
233,237.74148096192462,237.74048096192476,59.12996645290586
234,238.5450881763534,238.5440881763535,59.186996849699455
235,239.34869539078232,239.34769539078243,59.24402724649305
236,240.15230260521113,240.15130260521124,59.30105764328663
237,240.95590981964006,240.95490981964014,59.35808804008022
238,241.75951703406884,241.75851703406894,59.415118436873804
239,242.5631242484978,242.56212424849787,59.4721488336674
240,243.36673146292657,243.36573146292665,59.52917923046097
241,244.1703386773555,244.16933867735557,59.58620962725457
242,244.97394589178427,244.97294589178435,59.64324002404814
243,245.7775531062132,245.7765531062133,59.70027042084175
